service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,0,0,0,0,0,0,1,20240514,20240812
8,1,1,1,1,1,0,0,20240514,20240812
10,0,0,0,0,1,0,0,20240514,20240812
13,1,1,1,1,1,0,0,20240514,20240812
14,0,0,0,0,0,1,0,20240514,20240812
15,1,1,1,1,1,0,0,20240514,20240812
19,0,0,1,0,0,0,0,20240514,20240812
20,0,0,0,0,0,0,1,20240514,20240812
21,0,0,0,0,0,0,1,20240514,20240812
23,1,0,0,0,0,0,0,20240514,20240812
25,0,0,0,1,0,0,0,20240514,20240812
28,1,1,1,1,1,0,0,20240514,20240812
29,1,1,1,1,1,0,0,20240514,20240812
32,1,1,1,1,1,0,0,20240514,20240812
34,0,1,0,0,0,0,0,20240514,20240812
35,0,0,0,1,0,0,0,20240514,20240812
36,0,0,0,0,1,0,0,20240514,20240812
38,1,1,1,1,0,0,0,20240514,20240812
39,0,1,1,1,1,0,0,20240514,20240812
40,1,1,1,0,1,0,0,20240514,20240812
41,1,0,1,1,1,0,0,20240514,20240812
42,1,1,0,1,1,0,0,20240514,20240812
53,1,1,1,0,0,0,0,20240514,20240812
61,1,0,1,0,1,0,0,20240514,20240812
62,0,1,0,1,0,0,0,20240514,20240812
71,1,0,0,0,0,0,0,20240514,20240812
72,0,1,0,0,0,0,0,20240514,20240812
73,0,0,1,0,0,0,0,20240514,20240812
80,1,0,0,0,1,0,0,20240514,20240812
92,0,0,0,0,0,0,1,20240514,20240812
127,0,0,0,0,0,1,0,20240514,20240812
128,0,0,0,0,0,0,1,20240514,20240812
134,1,0,0,0,0,0,0,20240514,20240812
143,1,1,1,1,0,0,0,20240514,20240812
164,0,0,0,0,0,1,0,20240514,20240812
165,0,0,0,0,0,0,1,20240514,20240812
178,0,1,0,1,0,0,0,20240514,20240812
182,0,1,0,1,0,0,0,20240514,20240812
183,0,0,0,0,0,1,1,20240514,20240812
184,0,0,0,0,0,0,1,20240514,20240812
197,0,0,0,0,1,0,0,20240514,20240812
202,0,0,0,1,0,0,0,20240514,20240812
203,0,1,0,0,1,0,0,20240514,20240812
204,0,1,0,0,0,0,0,20240514,20240812
205,0,0,0,0,0,0,1,20240514,20240812
206,1,0,0,1,0,0,0,20240514,20240812
207,1,1,1,1,1,0,1,20240514,20240812
208,0,0,0,0,0,1,0,20240514,20240812
209,0,0,0,0,1,0,0,20240514,20240812
210,1,1,1,1,1,0,0,20240514,20240812
211,0,0,0,0,0,0,1,20240514,20240812
212,0,0,0,1,0,0,0,20240514,20240812
213,0,1,0,0,0,0,0,20240514,20240812
