route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
SCT-PCA-1,SCT-PCA,,Blue CAT,,3,,006298,FFFFFF
SCT-PCA-2,SCT-PCA,,Red CAT,,3,,C63527,FFFFFF
PWT-FRY-3,PWT-FRY,,Ferry,,4,,009639,FFFFFF
SWA-SRI-133,SWA-SRI,212,,,3,,009639,FFFFFF
SWA-SRI-141,SWA-SRI,228,,,3,,009639,FFFFFF
SWA-SRI-142,SWA-SRI,232,,,3,,009639,FFFFFF
TRA-TRA-145,TRA-TRA,,Prospector,,2,,009639,FFFFFF
SWA-SRI-146,SWA-SRI,240,,,3,,009639,FFFFFF
SWA-SRI-147,SWA-SRI,241,,,3,,009639,FFFFFF
SWA-SRI-148,SWA-SRI,243,,,3,,009639,FFFFFF
SWA-SRI-149,SWA-SRI,244,,,3,,009639,FFFFFF
SWA-SRI-150,SWA-SRI,245,,,3,,009639,FFFFFF
SWA-SRI-152,SWA-SRI,250,,,3,,009639,FFFFFF
SWA-SRI-153,SWA-SRI,251,,,3,,009639,FFFFFF
SWA-SRI-154,SWA-SRI,252,,,3,,009639,FFFFFF
SWA-SRI-155,SWA-SRI,253,,,3,,009639,FFFFFF
SWA-MAR-758,SWA-MAR,85,,,3,,009639,FFFFFF
SWA-MAR-771,SWA-MAR,82,,,3,,009639,FFFFFF
SWA-MAR-773,SWA-MAR,83,,,3,,009639,FFFFFF
SWA-SRI-815,SWA-SRI,210,,,3,,009639,FFFFFF
SWA-SRI-816,SWA-SRI,211,,,3,,009639,FFFFFF
SWA-SRI-819,SWA-SRI,229,,,3,,009639,FFFFFF
SWA-SRI-821,SWA-SRI,231,,,3,,009639,FFFFFF
SCT-PCA-905,SCT-PCA,,Yellow CAT,,3,,F2A900,000000
CRS-CAR-943,CRS-CAR,802,,,3,,009639,FFFFFF
CRS-CAR-944,CRS-CAR,803,,,3,,009639,FFFFFF
CRS-CAR-946,CRS-CAR,804,,,3,,009639,FFFFFF
SWA-SRI-1463,SWA-SRI,220,,,3,,009639,FFFFFF
SWA-CAN-1473,SWA-CAN,177,,,3,,009639,FFFFFF
SWA-CAN-1567,SWA-CAN,223,,,3,,009639,FFFFFF
SWA-CLA-1643,SWA-CLA,23,,,3,,009639,FFFFFF
SWA-CLA-1644,SWA-CLA,24,,,3,,009639,FFFFFF
SWA-CLA-1645,SWA-CLA,25,,,3,,009639,FFFFFF
SWA-CLA-1646,SWA-CLA,27,,,3,,009639,FFFFFF
SWA-CLA-1647,SWA-CLA,28,,,3,,009639,FFFFFF
SWA-CLA-1657,SWA-CLA,97,,,3,,009639,FFFFFF
SWA-CLA-1658,SWA-CLA,103,,,3,,009639,FFFFFF
SWA-CLA-1706,SWA-CLA,107,,,3,,009639,FFFFFF
SWA-CLA-1707,SWA-CLA,102,,,3,,009639,FFFFFF
SWA-CAN-1775,SWA-CAN,515,,,3,,009639,FFFFFF
SWA-CAN-1777,SWA-CAN,507,,,3,,009639,FFFFFF
SWA-CAN-1778,SWA-CAN,509,,,3,,009639,FFFFFF
SWA-CAN-1782,SWA-CAN,516,,,3,,009639,FFFFFF
