from_stop_id, to_stop_id, transfer_type, min_transfer_time
99011,99012,2,179
99011,99013,2,179
99011,99014,2,179
99012,99013,2,59
99012,99011,2,179
99012,99014,2,179
99013,99012,2,59
99013,99011,2,179
99013,99014,2,179
99014,99013,2,179
99014,99012,2,179
99014,99011,2,179
28524,28525,2,59
28524,28526,2,59
28524,28527,2,119
28524,28528,2,239
28524,28529,2,239
28525,28524,2,59
28525,28526,2,59
28525,28527,2,59
28525,28528,2,239
28525,28529,2,239
28526,28524,2,59
28526,28525,2,59
12202,12209,2,239
27751,27751,2,0
17511,17511,2,0
12199,12209,2,239
12198,12209,2,239
12197,12209,2,239
28526,28527,2,59
12195,12209,2,239
28526,28528,2,239
28526,28529,2,239
28527,28524,2,119
28527,28525,2,59
28527,28526,2,59
28527,28528,2,179
28527,28529,2,179
28528,28524,2,239
28528,28525,2,239
28528,28526,2,239
28528,28527,2,179
28528,28529,2,59
28529,28524,2,239
28529,28525,2,239
28529,28526,2,239
28529,28527,2,179
28529,28528,2,59
12223,12207,2,239
12224,12207,2,239
12225,12207,2,239
12226,12207,2,239
12227,12207,2,239
12228,12207,2,239
12221,12207,2,239
12218,12207,2,239
12217,12207,2,239
12216,12207,2,239
12214,12207,2,239
12213,12207,2,239
12212,12207,2,239
12211,12207,2,239
12210,12207,2,239
12209,12207,2,239
12199,12207,2,239
12198,12207,2,239
12197,12207,2,239
11358,11359,2,59
12195,12207,2,239
12223,12206,2,239
12224,12206,2,239
12225,12206,2,239
12226,12206,2,239
12227,12206,2,239
12228,12206,2,239
12221,12206,2,239
12218,12206,2,239
12217,12206,2,239
12216,12206,2,239
12214,12206,2,239
12213,12206,2,239
12212,12206,2,239
12211,12206,2,239
12210,12206,2,239
12209,12206,2,239
11358,11360,2,59
12199,12206,2,239
12198,12206,2,239
12197,12206,2,239
11358,11361,2,59
12195,12206,2,239
12223,12205,2,239
12224,12205,2,239
12225,12205,2,239
12226,12205,2,239
12227,12205,2,239
12228,12205,2,239
12221,12205,2,239
12218,12205,2,239
12217,12205,2,239
12216,12205,2,239
12214,12205,2,239
12213,12205,2,239
12212,12205,2,239
12211,12205,2,239
12210,12205,2,239
12209,12205,2,239
11358,11362,2,119
12199,12205,2,239
12198,12205,2,239
12197,12205,2,239
11358,11363,2,59
12195,12205,2,239
12223,12204,2,239
12224,12204,2,239
12225,12204,2,239
12226,12204,2,239
12227,12204,2,239
12228,12204,2,239
12221,12204,2,239
12218,12204,2,239
12217,12204,2,239
